# ----------------------------------------
# Report CSV Export
# Account: Dot.alert()
# Property: Visitors and views
# ----------------------------------------
#  
# Start date: 20221201
# End date: 20221215
15 Jan - 21 Jan,14,1,-1,-1,-1,-1
22 Jan - 28 Jan,23,-1,-1,-1,-1,-1
#  
# Start date: 20221201
# End date: 20221215
Page title and screen class,Views,,,,,
Welcome! - Dot.alert(),118,,,,,
Privacy - Dot.alert(),18,,,,,
Wallets - Dot.alert(),26,,,,,
1.Acquisition - Dot.alert(),40,,,,,
Air-gapped signers - Dot.alert(),24,,,,,
Jobs - Dot.alert(),41,,,,,
Pairs availability - Dot.alert(),13,,,,,
5.Regulations - Dot.alert(),22,,,,,
Nominating - Dot.alert(),22,,,,,
Crowdfunding - Dot.alert(),21,,,,,
2.Storage - Dot.alert(),18,,,,,
3.Operations - Dot.alert(),23,,,,,
Our mission - Dot.alert(),14,,,,,
4.Social support - Dot.alert(),18,,,,,
Existential deposits - Dot.alert(),18,,,,,
Networks - Dot.alert(),7,,,,,
Our contributors - Dot.alert(),16,,,,,
Social channels - Dot.alert(),12,,,,,
Mobile wallets - Dot.alert(),13,,,,,
Our platform - Dot.alert(),6,,,,,
Treasury spends - Dot.alert(),11,,,,,
Address formats - Dot.alert(),9,,,,,
Our team members - Dot.alert(),9,,,,,
Seed/Secret phrases - Dot.alert(),10,,,,,
Staking - Dot.alert(),11,,,,,
Explorers - Dot.alert(),9,,,,,
Misc - Dot.alert(),4,,,,,
Transaction explorers - Dot.alert(),10,,,,,
Voting - Dot.alert(),10,,,,,
Bidding - Dot.alert(),8,,,,,
Crowdloans - Dot.alert(),7,,,,,
Direct democracy - Dot.alert(),7,,,,,
Docs - Dot.alert(),7,,,,,
Governance - Dot.alert(),7,,,,,
Kappa Sigma Mu (KÎ£M) membership - Dot.alert(),8,,,,,
Monthly quizzes - Dot.alert(),14,,,,,
Parachain slot lease - Dot.alert(),7,,,,,
Browser extensions - Dot.alert(),10,,,,,
Cookie policy - Dot.alert(),2,,,,,
Democracy delegation - Dot.alert(),9,,,,,
Infrastructure - Dot.alert(),5,,,,,
JSON backups - Dot.alert(),5,,,,,
Open Source license - Dot.alert(),2,,,,,
Swapping - Dot.alert(),4,,,,,
Participation - Dot.alert(),2,,,,,
GitHub - Dot.alert(),3,,,,,
Page not found - Dot.alert(),1,,,,,
User surveys - Dot.alert(),8,,,,,
#  
# Start date: 20221201
# End date: 20221215
Event name,Event count,,,,,
page_view,687,,,,,
session_start,240,,,,,
scroll,115,,,,,
first_visit,124,,,,,
user_engagement,66,,,,,
click,5,,,,,
# What are your top conversions?
# Start date: 20221201
# End date: 20221215
Event name,Conversions,,,,,
#  
# Start date: 20221201
# End date: 20221215
Item name,E-commerce purchases,,,,,
# How does activity on your platforms compare?
# Start date: 20221201
# End date: 20221215
Platform,Conversions,,,,,
